JB 4,Stanton Moore JB.bfd3pal,6,8
JB 5,Stanton Moore JB.bfd3pal,6,7
JB 6,Stanton Moore JB.bfd3pal,7,8
JB 7,Stanton Moore JB.bfd3pal,7,7
JB 8,Stanton Moore JB.bfd3pal,6,8
JB 9,Stanton Moore JB.bfd3pal,0,9
JB 10,Stanton Moore JB.bfd3pal,5,5
JB 11,Stanton Moore JB.bfd3pal,2,3
JB 12,Stanton Moore JB.bfd3pal,2,2
JB 13,Stanton Moore JB.bfd3pal,2,1
JB 14,Stanton Moore JB.bfd3pal,9,4
JB 15,Stanton Moore JB.bfd3pal,2,3
JB 16,Stanton Moore JB.bfd3pal,8,4
JB 17,Stanton Moore JB.bfd3pal,9,8
JB 18,Stanton Moore JB.bfd3pal,6,5
JB 19,Stanton Moore JB.bfd3pal,7,5
JB 20,Stanton Moore JB.bfd3pal,9,6
JB 21,Stanton Moore JB.bfd3pal,8,8
JB 22,Stanton Moore JB.bfd3pal,5,9
JB 23,Stanton Moore JB.bfd3pal,4,2
JB 24,Stanton Moore JB.bfd3pal,4,4
JB 25,Stanton Moore JB.bfd3pal,4,4
JB 26,Stanton Moore JB.bfd3pal,3,3
JB Fill 1,Stanton Moore JB.bfd3pal,3,2
JB Fill 2,Stanton Moore JB.bfd3pal,9,6
JB Fill 3,Stanton Moore JB.bfd3pal,9,6
JB Fill 4,Stanton Moore JB.bfd3pal,9,7
JB Fill 5,Stanton Moore JB.bfd3pal,8,5
JB Fill 6,Stanton Moore JB.bfd3pal,7,6
JB Fill 7,Stanton Moore JB.bfd3pal,3,3
JB Fill 8,Stanton Moore JB.bfd3pal,8,7
JB Fill 9,Stanton Moore JB.bfd3pal,1,9
JB Fill 10,Stanton Moore JB.bfd3pal,8,6
Pop CH1 a,Pop V3.bfd3pal,5,6
Pop CH1 a Crash,Pop V3.bfd3pal,5,6
Pop CH1 b,Pop V3.bfd3pal,6,0
Pop CH1 b Crash,Pop V3.bfd3pal,6,0
Pop CH1 c,Pop V3.bfd3pal,1,3
Pop CH1 c Crash,Pop V3.bfd3pal,1,3
Pop CH1 FBar1,Pop V3.bfd3pal,5,6
Pop CH1 FBar2,Pop V3.bfd3pal,2,4
Pop CH1 FBar3,Pop V3.bfd3pal,4,0
Pop CH2 a,Pop V3.bfd3pal,6,2
Pop CH2 a Crash,Pop V3.bfd3pal,6,2
Pop CH2 b,Pop V3.bfd3pal,5,2
Pop CH2 b Crash,Pop V3.bfd3pal,5,2
Pop CH2 c,Pop V3.bfd3pal,5,3
Pop CH2 c Crash,Pop V3.bfd3pal,5,3
Pop CH2 d,Pop V3.bfd3pal,5,2
Pop CH2 d Crash,Pop V3.bfd3pal,5,2
Pop CH2 FBar1,Pop V3.bfd3pal,5,2
Pop CH2 FBar2,Pop V3.bfd3pal,5,1
Pop CH2 FBar3,Pop V3.bfd3pal,6,3
Pop CH2 FBar4,Pop V3.bfd3pal,5,2
Pop Ride a,Pop V3.bfd3pal,1,4
Pop Ride a Crash,Pop V3.bfd3pal,0,4
Pop Ride b,Pop V3.bfd3pal,0,6
Pop Ride b Crash,Pop V3.bfd3pal,0,6
Pop Ride c,Pop V3.bfd3pal,0,5
Pop Ride c Crash,Pop V3.bfd3pal,0,5
Pop Ride d,Pop V3.bfd3pal,0,6
Pop Ride d Crash,Pop V3.bfd3pal,0,6
Pop Ride FBar1,Pop V3.bfd3pal,0,7
Pop Ride FBar2,Pop V3.bfd3pal,1,6
Pop Fill1,Pop V3.bfd3pal,3,9
Pop Fill2,Pop V3.bfd3pal,8,9
